symbol,name,address,sector,industry,full_time_employees,description,total_esg_risk_score,environment_risk_score,governance_risk_score,social_risk_score,controversy_level,controversy_score,esg_risk_percentile,esg_risk_level,avg_esg_score,esg_score_variance,company_size,high_controversy
O,Realty Income Corporation,"11995 El Camino Real
San Diego, CA 92130
United States",Real Estate,Reit - Retail,418.0,"Realty Income, The Monthly Dividend Company, is an S&P 500 company and member of the S&P 500 Dividend Aristocrats index. We invest in people and places to deliver dependable monthly dividends that increase over time. The company is structured as a real estate investment trust (""REIT""), and its monthly dividends are supported by the cash flow from over 15,450 real estate properties (including properties acquired in the Spirit merger in January 2024) primarily owned under long-term net lease agreements with commercial clients. To date, the company has declared 644 consecutive monthly dividends on its shares of common stock throughout its 55-year operating history and increased the dividend 123 times since Realty Income's public listing in 1994 (NYSE: O).",15.5,4.4,5.7,5.3,Moderate Controversy Level,2.0,,Low,5.133333333333333,0.44333333333333313,Medium,0
RJF,"Raymond James Financial, Inc.","880 Carillon Parkway
Saint Petersburg, FL 33716
United States",Financial Services,Capital Markets,18000.0,"Raymond James Financial, Inc., a diversified financial services company, provides private client group, capital markets, asset management, banking, and other services to individuals, corporations, and municipalities in the United States, Canada, and Europe. The Private Client Group segment offers investment services, portfolio management services, insurance and annuity products, and mutual funds; support to third-party product partners, including sales and marketing support, as well as distribution and accounting, and administrative services; margin loans; securities borrowing and lending services; diversification strategies and alternative investment products; and custodial, trade execution, research, and other support and services. The Capital Markets segment provides investment banking services, such as equity and debt underwriting, and merger and acquisition advisory services; and fixed income and equity brokerage services. This segment also offers institutional sales, securities trading, equity research, and the syndication and management of investments in low-income housing funds and funds of a similar nature. The Asset Management segment provides asset management, portfolio management, and related administrative services to retail and institutional clients; and administrative support services, such as record-keeping. The Bank segment offers various types of loans, including securities-based, commercial and industrial, commercial real estate and construction, real estate investment trust, residential mortgage, and tax-exempt loans; insured deposit accounts; retail and corporate deposit; and liquidity management products and services. The Other segment is involved in the private equity investments comprising invests in third-party funds. Raymond James Financial, Inc. was founded in 1962 and is headquartered in Saint Petersburg, Florida.",27.0,2.3,13.4,11.2,Moderate Controversy Level,2.0,,Medium,8.966666666666667,34.54333333333334,Enterprise,0
RL,Ralph Lauren Corporation,"650 Madison Avenue
New York, NY 10022
United States",Consumer Cyclical,Apparel Manufacturing,14800.0,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally. The company offers apparel, including a range of men's, women's, and children's clothing; footwear and accessories, which comprise casual shoes, dress shoes, boots, sneakers, sandals, eyewear, watches, fashion and fine jewelry, scarves, hats, gloves, and umbrellas, as well as leather goods, such as handbags, luggage, small leather goods, and belts; home products consisting of bed and bath lines, furniture, fabric and wallcoverings, floor coverings, lighting, tabletop, kitchen linens, floor coverings, dining, decorative accessories, and giftware; and fragrances. It sells apparel and accessories under the Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Golf Ralph Lauren, Ralph Lauren Golf, RLX Ralph Lauren, Polo Ralph Lauren Children, and Chaps brands; women's fragrances under the Ralph Lauren Collection, Woman by Ralph Lauren, Romance Collection, and Ralph Collection brand names; and men's fragrances under the Ralph's Club, Purple Label, Polo Blue, Polo Red, Polo Green, Polo Black, Polo 67, Safari, Polo Sport, and Big Pony Men's brand names. The company's restaurant collection includes The Polo Bar in New York City; RL Restaurant in Chicago; Ralph's in Paris; The Bar at Ralph Lauren located in Milan; Ralph's Bar located in Chengdu, China; and Ralph's Coffee concept. It sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites. The company directly operates retail stores and concession-based shop-within-shops; and operates Ralph Lauren stores and stores and shops through licensing partners. Ralph Lauren Corporation was founded in 1967 and is headquartered in New York, New York.",14.6,1.2,5.6,7.8,Moderate Controversy Level,2.0,,Low,4.866666666666666,11.293333333333331,Enterprise,0
PWR,"Quanta Services, Inc.","2727 North Loop West
Houston, TX 77008
United States",Industrials,Engineering & Construction,52500.0,"Quanta Services, Inc. provides infrastructure solutions for the electric and gas utility, renewable energy, communications, and pipeline and energy industries in the United States, Canada, Australia, and internationally. The company's Electric Power Infrastructure Solutions segment engages in the design, procurement, construction, upgrade, repair, and maintenance of electric power transmission and distribution infrastructure and substation facilities; installation, maintenance, and upgrade of electric power infrastructure projects; installation of smart grid technologies on electric power networks; and design, installation, maintenance, and repair of commercial and industrial wirings. This segment also offers aviation services; emergency restoration services; and other engineering and technical services; design and construction solutions to wireline and wireless communications, cable multi-system operators, and other customers; and training for electric workers, as well as training for the gas distribution and communications industries. The company's Renewable Energy Infrastructure Solutions segment is involved in engineering, procurement, construction, repair, and maintenance of wind, solar, and hydropower generation facilities, as well as battery storage facilities; and provision of engineering and construction services for substations and switchyards, transmission, and other electrical infrastructures. The company's Underground Utility and Infrastructure Solutions segment offers design, engineering, procurement, construction, upgrade, repair, and maintenance services for natural gas systems for gas utility customers; fabrication services for pipeline support systems and structures and facilities; and engineering and construction services for pipeline and storage systems, and compressor and pump stations. The company was formerly known as Fabal Construction, Inc. and changed its name to Quanta Services, Inc. in November 1997. The company was incorporated in 1997 and is headquartered in Houston, Texas.",36.9,12.1,9.0,15.7,Moderate Controversy Level,2.0,,High,12.266666666666666,11.24333333333333,Enterprise,0
QRVO,"Qorvo, Inc.","7628 Thorndike Road
Greensboro, NC 27409-9421
United States",Technology,Semiconductors,8700.0,"Qorvo, Inc. engages in development and commercialization of technologies and products for wireless, wired, and power markets worldwide. It operates through three segments: High Performance Analog (HPA), Connectivity and Sensors Group (CSG), and Advanced Cellular Group (ACG). The HPA segment supplies radio frequency and power management solutions for defense and aerospace, and 5G and 6G infrastructure markets. The CSG segment supplies connectivity and sensor solutions featuring various technologies, such as UWB, Matter, Bluetooth Low Energy, Zigbee, Thread, Wi-Fi, cellular IoT, and MEMS-based sensors. It serves smart home, industrial automation, automotive, smartphones, wearables, gaming, and industrial and enterprise access points markets. The ACG segment supplies cellular RF solutions for smartphones, wearables, laptops, tablets, and various other devices. It also offers foundry services for defense primes and other defense and aerospace customers. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. Qorvo, Inc. was founded in 1957 and is headquartered in Greensboro, North Carolina.",28.5,12.3,7.7,8.5,None Controversy Level,2.0,,Medium,9.5,6.040000000000001,Large,0
PHM,"Pultegroup, Inc.","3350 Peachtree Road NE
Suite 1500
Atlanta, GA 30326
United States",Consumer Cyclical,Residential Construction,6382.0,"PulteGroup, Inc., through its subsidiaries, primarily engages in the homebuilding business in the United States. It acquires and develops land primarily for residential purposes; and constructs housing on such land. The company also offers various home designs, including single-family detached, townhomes, condominiums, and duplexes under the Centex, Pulte Homes, Del Webb, DiVosta Homes, John Wieland Homes and Neighborhoods, and American West brand names. In addition, the company arranges financing through the origination of mortgage loans primarily for homebuyers; sells the servicing rights for the originated loans; and provides title insurance policies, and examination and closing services to homebuyers. PulteGroup, Inc. was founded in 1950 and is headquartered in Atlanta, Georgia.",21.4,9.2,4.9,7.3,Moderate Controversy Level,2.0,,Medium,7.133333333333333,4.643333333333331,Large,0
PEG,Public Service Enterprise Group Incorporated,"80 Park Plaza
Newark, NJ 07102
United States",Utilities,Utilities - Regulated Electric,12543.0,"Public Service Enterprise Group Incorporated, through its subsidiaries, operates in electric and gas utility business in the United States. It operates through PSE&G and PSEG Power segments. The PSE&G segment transmits electricity; distributes electricity and natural gas to residential, commercial, and industrial customers; and appliance services and repairs to customers through its service territory, as well as invests in solar generation projects, and energy efficiency and related programs. The PSEG Power segment engages in nuclear generation businesses; and supplies power and natural gas to nuclear power plants and gas storage facilities activities. As of December 31, 2023, it had electric transmission and distribution system of 25,000 circuit miles and 866,600 poles; 56 switching stations with an installed capacity of 39,953 megavolt-amperes (MVA), and 235 substations with an installed capacity of 10,382 MVA; 109 MVA aggregate installed capacity for substations; four electric distribution headquarters and five electric sub-headquarters; 18,000 miles of gas mains, 12 gas distribution headquarters, two sub-headquarters, and one meter shop, as well as 56 natural gas metering and regulating stations; and 158 MegaWatts defined conditions of installed PV solar capacity. Public Service Enterprise Group Incorporated was founded in 1903 and is based in Newark, New Jersey.",27.2,12.5,5.5,9.3,Moderate Controversy Level,2.0,,Medium,9.1,12.280000000000001,Enterprise,0
PTC,"Ptc, Inc","121 Seaport Boulevard
Boston, MA 02210
United States",Technology,Software - Application,7438.0,"PTC Inc. operates as software company in the Americas, Europe, and the Asia Pacific. The company provides Windchill, a suite that manages all aspects of the product development lifecycle(PLM) that provides real-time information sharing, dynamic data visualization, collaborate across geographically distributed teams, and enabling manufacturers to elevate product development, manufacturing, and field service processes; ThingWorx, a platform for Industrial Internet of Things; ServiceMax, a field service management solutions enable companies to asset uptime with optimized in-person and remote service and technician productivity with mobile tools. and deliver metrics; and Arena, a SaaS PLM solution enables product teams to collaborate virtually to share product and quality information with internal teams and supply chain partners and deliver products to customers. It offers Codebeamer, an application lifecycle management for products and software development; Servigistics, a service parts management solution; and FlexPLM, a solution provides retailers with a single platform for merchandising and line planning, materials management, sampling, and others. In addition, it offers Kepware, a portfolio of industrial connectivity solutions helps companies connect diverse automation devices and software applications; Creo, a 3D CAD technology enables the digital design, testing, and modification of product models; and Onshape, a cloud product development platform that delivers computer-aided design with data management tools. Further, it offers Vuforia, an augmented reality (AR) technology enables the visualization of digital information in a physical context and the creation of AR enabling companies to drive results in manufacturing, service, engineering, and operations; and Arbortext, a dynamic publishing solution streamlines how organizations create, manage, and publish technical documentation. PTC Inc. was incorporated in 1985 and is headquartered in Boston, Massachusetts.",18.9,4.9,5.4,8.6,None Controversy Level,2.0,,Low,6.3,4.0299999999999985,Large,0
PGR,Progressive Corporation,"6300 Wilson Mills Road
Mayfield, OH 44143
United States",Financial Services,Insurance - Property & Casualty,61432.0,"The Progressive Corporation, an insurance holding company, provides personal and commercial auto, personal residential and commercial property, business related general liability, and other specialty property-casualty insurance products and related services in the United States. It operates in three segments: Personal Lines, Commercial Lines, and Property. The Personal Lines segment writes insurance for personal autos and recreational vehicles (RV). This segment's products include personal auto insurance; and special lines products, including insurance for motorcycles, ATVs, RVs, watercrafts, snowmobiles, and related products. The Commercial Lines segment provides auto-related liability and physical damage insurance, and business-related general liability and property insurance for autos, vans, and pick-up trucks used by small businesses, as well as non-fleet taxis, black-car services, and airport taxis; tractors, trailers, and straight trucks primarily used by regional general freight and expeditor-type businesses, and long-haul operators; dump trucks used by light contractors and heavy constructions; log trucks and garbage trucks used by dirt, sand and gravel, logging, garbage/debris removal, and coal-type businesses; and tow trucks and wreckers used in towing services and gas/service station businesses. The Property segment writes residential property insurance for homeowners, other property owners, and renters, as well as offers manufactured homes, personal umbrella insurance, and primary and excess flood insurance. The company offers policy issuance and claims adjusting services; acts as an agent to homeowners, general liability, workers' compensation insurance, and other products; and reinsurance services. It sells its products through independent insurance agencies, as well as through mobile applications and over the phone. The Progressive Corporation was founded in 1937 and is headquartered in Mayfield Village, Ohio.",20.0,1.5,10.1,8.5,Moderate Controversy Level,2.0,,Medium,6.7,20.919999999999998,Enterprise,0
PPL,Ppl Corporation,"Two North Ninth Street
Allentown, PA 18101-1179
United States",Utilities,Utilities - Regulated Electric,6629.0,"PPL Corporation, an energy company, focuses on providing electricity and natural gas to approximately 3.6 million customers in the United States. It operates through three segments: Kentucky Regulated, Pennsylvania Regulated, and Rhode Island Regulated. The company delivers electricity to customers in Pennsylvania, Kentucky, Virginia, and Rhode Island; delivers natural gas to customers in Kentucky and Rhode Island; and generates electricity from power plants in Kentucky. PPL Corporation was founded in 1920 and is headquartered in Allentown, Pennsylvania.",31.3,17.1,5.3,8.9,Moderate Controversy Level,2.0,,High,10.433333333333334,36.57333333333334,Large,0
PPG,"Ppg Industries, Inc.","One PPG Place
Pittsburgh, PA 15272
United States",Basic Materials,Specialty Chemicals,50000.0,"PPG Industries, Inc. manufactures and distributes paints, coatings, and specialty materials in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. It operates through two segments, Performance Coatings and Industrial Coatings. The Performance Coatings segment offers coatings, solvents, adhesives, sealants, sundries, and software for automotive and commercial transport/fleet repair and refurbishing, light industrial coatings, and specialty coatings for signs; wood stains; paints, thermoplastics, pavement marking products, and other advanced technologies for pavement marking for government, commercial infrastructure, painting, and maintenance contractors; and coatings, sealants, transparencies, transparent armor, adhesives, engineered materials, and packaging and chemical management services for commercial, military, regional jet, and general aviation aircraft. The Industrial Coatings segment offers coatings, adhesives and sealants, and metal pretreatments, as well as services and coatings applications for appliances, agricultural and construction equipment, consumer electronics, automotive parts and accessories, building products, kitchenware, and transportation vehicles and other finished products; and on-site coatings services. It also provides coatings for metal cans, closures, plastic and aluminum tubes for food, beverage and personal care, promotional, and specialty packaging; amorphous precipitated silica for tire, battery separator, and other end-uses; TESLIN substrates for labels, e-passports, drivers' licenses, breathable membranes, and loyalty and identification cards; and organic light emitting diode materials, displays and lighting lens materials, optical lenses, color-change products, and photochromic dyes. PPG Industries, Inc. was incorporated in 1883 and is headquartered in Pittsburgh, Pennsylvania.",25.2,11.0,6.5,7.7,Moderate Controversy Level,2.0,,Medium,8.4,5.43,Enterprise,0
POOL,Pool Corporation,"109 Northpark Boulevard
Covington, LA 70433-5001
United States",Industrials,Industrial Distribution,6000.0,"Pool Corporation distributes swimming pool supplies, equipment, and related leisure products in the United States and internationally. The company offers maintenance products, including chemicals, supplies, and pool accessories; repair and replacement parts for pool equipment, such as cleaners, filters, heaters, pumps, and lights; and building materials, such as concrete, plumbing and electrical components, functional and decorative pool surfaces, decking materials, tiles, hardscapes, and natural stones for pool installations and remodeling. It also provides pool equipment and components for new pool construction and the remodeling of existing pools; irrigation and related products, such as irrigation system components, and professional turf care equipment and supplies; commercial products, including heaters, safety equipment, commercial decking equipment, and commercial pumps and filters. In addition, the company offers fiberglass pools, and hot tubs and packaged pool kits comprising walls, liners, braces, and coping for in-ground and above-ground pools; and other pool construction and recreational products comprising discretionary recreational and related outdoor living products, such as grills and components for outdoor kitchens. It serves swimming pool remodelers and builders; specialty retailers that sell swimming pool supplies; swimming pool repair and service businesses; irrigation construction and landscape maintenance contractors; and commercial pool operators and pool contractors. Pool Corporation was incorporated in 1993 and is headquartered in Covington, Louisiana.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Large,0
PYPL,"Paypal Holdings, Inc.","2211 North First Street
San Jose, CA 95131
United States",Financial Services,Credit Services,27200.0,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. It operates a two-sided network at scale that connects merchants and consumers that enables its customers to connect, transact, and send and receive payments through online and in person, as well as transfer and withdraw funds using various funding sources, such as bank accounts, PayPal or Venmo account balance, PayPal and Venmo branded credit products comprising its installment products, credit and debit cards, and cryptocurrencies, as well as other stored value products, including gift cards and eligible rewards. The company provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, Zettle, Hyperwallet, Honey, and Paidy names. The company was founded in 1998 and is headquartered in San Jose, California.",17.8,2.8,5.8,9.2,Moderate Controversy Level,2.0,,Low,5.933333333333334,10.25333333333333,Enterprise,0
PAYC,"Paycom Software, Inc.","7501 West Memorial Road
Oklahoma City, OK 73142
United States",Technology,Software - Application,7308.0,"Paycom Software, Inc. provides cloud-based human capital management (HCM) solution delivered as software-as-a-service for small to mid-sized companies in the United States. It offers functionality and data analytics that businesses need to manage the employment life cycle from recruitment to retirement. The company's HCM solution provides a suite of applications in the areas of talent acquisition, including applicant tracking, candidate tracker, background checks, on-boarding, e-verify, and tax credit services; and time and labor management, such as time and attendance, scheduling, time-off requests, labor allocation, labor management reports/push reporting, geofencing/geotracking, and Microfence, a proprietary Bluetooth. Its HCM solution also offers payroll applications comprising better employee transaction interface, payroll and tax management, payroll card, Everyday, Paycom pay, Client Action Center, expense management, mileage tracker/fixed and variable rates, garnishment administration, and GL concierge applications; and talent management applications that include employee self-service, compensation budgeting, performance management, position management, and Paycom learning, as well as my analytics. In addition, its HCM solution provides manager on-the-go that gives supervisors and managers the ability to perform a variety of tasks, such as approving time-off requests and expense reimbursements; direct data exchange; ask here, a tool for direct line of communication to ask work-related questions; document and checklist; government and compliance; benefits administration/benefits to carrier; benefit enrollment service; COBRA administration; personnel action and performance discussion forms; surveys; 401(k) reporting; report center; and affordable care act applications, as well as Clue, which securely collects, tracks, and manages the vaccination and testing data of the workforce. Paycom Software, Inc. was founded in 1998 and is based in Oklahoma City, Oklahoma.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Large,0
PH,Parker-Hannifin Corporation,"6035 Parkland Boulevard
Cleveland, OH 44124-4141
United States",Industrials,Specialty Industrial Machinery,62730.0,"Parker-Hannifin Corporation manufactures and sells motion and control technologies and systems for various mobile, industrial, and aerospace markets worldwide. The company operates through two segments: Diversified Industrial and Aerospace Systems. The Diversified Industrial segment offers sealing, shielding, thermal products and systems, adhesives, coatings, and noise vibration and harshness solutions; filters, systems, and diagnostics solutions to ensure purity and remove contaminants from fuel, air, oil, water, and other liquids and gases; connectors used in fluid and gas handling; and hydraulic, pneumatic, and electromechanical components and systems for builders and users of mobile and industrial machinery and equipment. This segment sells its products to original equipment manufacturers (OEMs) and distributors who serve the replacement markets in manufacturing, packaging, processing, transportation, construction, refrigeration and air conditioning, agricultural, and military machinery and equipment industries. The Aerospace Systems segment offers products for use in commercial and military airframe and engine programs, such as control actuation systems and components, engine build-up ducting, engine exhaust nozzles and assemblies, engine systems and components, fluid conveyance systems and components, fuel systems and components, fuel tank inerting systems, hydraulic systems and components, lubrication components, avionics, sensors, pneumatic control components, thermal management products, fire detection and suppression systems and components, and wheels and brakes, as well as fluid metering, delivery, and atomization devices. This segment markets its products directly to OEMs and end users. The company markets its products through direct-sales employees, independent distributors, and sales representatives. Parker-Hannifin Corporation was founded in 1917 and is headquartered in Cleveland, Ohio.",29.5,9.5,6.2,13.8,Moderate Controversy Level,2.0,,Medium,9.833333333333334,14.523333333333335,Enterprise,0
OTIS,Otis Worldwide Corporation,"One Carrier Place
Farmington, CT 06032
United States",Industrials,Specialty Industrial Machinery,71000.0,"Otis Worldwide Corporation engages in manufacturing, installation, and servicing of elevators and escalators in the United States, China, and internationally. The company operates in two segments, New Equipment and Service. The New Equipment segment designs, manufactures, sells, and installs a range of passenger and freight elevators, as well as escalators and moving walkways for residential and commercial buildings, and infrastructure projects. This segment serves real-estate and building developers, and general contractors. It sells its products directly to customers, as well as through agents and distributors. The Service segment performs maintenance and repair services, as well as modernization services to upgrade elevators and escalators. Otis Worldwide Corporation was founded in 1853 and is headquartered in Farmington, Connecticut.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Enterprise,0
ORCL,Oracle Corp,"2300 Oracle Way
Austin, TX 78741
United States",Technology,Software - Infrastructure,164000.0,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning (ERP), Oracle Fusion cloud enterprise performance management, Oracle Fusion cloud supply chain and manufacturing management, Oracle Fusion cloud human capital management, Oracle Cerner healthcare, Oracle Advertising, and NetSuite applications suite, as well as Oracle Fusion Sales, Service, and Marketing. The company also offers cloud-based industry solutions for various industries; Oracle application licenses; and Oracle license support services. In addition, it provides cloud and license business' infrastructure technologies, such as the Oracle Database and MySQL Database; Java, a software development language; and middleware, including development tools and others. The company's cloud and license business' infrastructure technologies also comprise cloud-based compute, storage, and networking capabilities; and Oracle autonomous database, MySQL HeatWave, Internet-of-Things, digital assistant, and blockchain. Further, it provides hardware products and other hardware-related software offerings, including Oracle engineered systems, enterprise servers, storage solutions, industry-specific hardware, virtualization software, operating systems, management software, and related hardware services; and consulting and customer services. The company markets and sells its cloud, license, hardware, support, and services offerings directly to businesses in various industries, government agencies, and educational institutions, as well as through indirect channels. The company has a collaboration with Amdocs Limited to empower customers on their journey towards cloud and digital adoption. Oracle Corporation was founded in 1977 and is headquartered in Austin, Texas.",13.9,0.5,5.6,7.8,Moderate Controversy Level,2.0,,Low,4.633333333333334,14.023333333333332,Enterprise,0
ODFL,Old Dominion Freight Line,"500 Old Dominion Way
Thomasville, NC 27360
United States",Industrials,Trucking,22891.0,"Old Dominion Freight Line, Inc. operates as a less-than-truckload motor carrier in the United States and North America. The company offers regional, inter-regional, and national less-than-truckload services, as well as expedited transportation. It also provides various value-added services, including container drayage, truckload brokerage, and supply chain consulting. As of December 31, 2023, it owned and operated 10,791 tractors, 31,233 linehaul trailers, and 15,181 pickup and delivery trailers; 46 fleet maintenance centers; and 257 service centers. Old Dominion Freight Line, Inc. was founded in 1934 and is headquartered in Thomasville, North Carolina.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Enterprise,0
OXY,Occidental Petroleum Corporation,"5 Greenway Plaza
Suite 110
Houston, TX 77046-0521
United States",Energy,Oil & Gas E&P,12570.0,"Occidental Petroleum Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of oil and gas properties in the United States, the Middle East, and North Africa. It operates through three segments: Oil and Gas, Chemical, and Midstream and Marketing. The company's Oil and Gas segment explores for, develops, and produces oil and condensate, natural gas liquids (NGLs), and natural gas. Its Chemical segment manufactures and markets basic chemicals, including chlorine, caustic soda, chlorinated organics, potassium chemicals, ethylene dichloride, chlorinated isocyanurates, sodium silicates, and calcium chloride; and vinyls comprising vinyl chloride monomer, polyvinyl chloride, and ethylene. The Midstream and Marketing segment gathers, processes, transports, stores, purchases, and markets oil, condensate, NGLs, natural gas, carbon dioxide, and power. This segment also invests in entities. Occidental Petroleum Corporation was founded in 1920 and is headquartered in Houston, Texas.",41.7,25.0,7.0,9.7,Moderate Controversy Level,2.0,,High,13.9,94.23,Enterprise,0
NVDA,Nvidia Corp,"2788 San Tomas Expressway
Santa Clara, CA 95051
United States",Technology,Semiconductors,29600.0,"NVIDIA Corporation provides graphics and compute and networking solutions in the United States, Taiwan, China, Hong Kong, and internationally. The Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; virtual GPU or vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building and operating metaverse and 3D internet applications. The Compute & Networking segment comprises Data Center computing platforms and end-to-end networking platforms, including Quantum for InfiniBand and Spectrum for Ethernet; NVIDIA DRIVE automated-driving platform and automotive development agreements; Jetson robotics and other embedded platforms; NVIDIA AI Enterprise and other software; and DGX Cloud software and services. The company's products are used in gaming, professional visualization, data center, and automotive markets. It sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, consumer internet companies, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California.",13.6,2.3,6.3,4.9,Moderate Controversy Level,2.0,,Low,4.5,4.12,Enterprise,0
NUE,Nucor Corporation,"1915 Rexford Road
Charlotte, NC 28211
United States",Basic Materials,Steel,32000.0,"Nucor Corporation engages in manufacture and sale of steel and steel products. It operates in three segments: steel mills, steel products, and raw materials. The Steel Mills segment produces hot-rolled, cold-rolled, and galvanized sheet steel products; plate steel products; wide-flange beams, beam blanks, and H-piling and sheet piling structural steel products; bar steel products, such as blooms, billets, concrete reinforcing and merchant bars, and engineered special bar quality products; and engages in the steel trading and rebar distribution businesses. This segment sells its products to steel service centers, fabricators, and manufacturers in the United States, Canada, and Mexico. The Steel Products segment offers steel joists and joist girders, steel decks, and galvanized torque tubes for used in solar arrays, hollow structural section steel tubing, electrical conduit, fabricated concrete reinforcing steel, cold finished steel, steel fasteners, steel grating and expanded metal, wire and wire mesh, metal building systems, insulated metal panels, steel racking, overhead doors, and utility towers and structures for communications and energy transmission. This segment is also involved in the piling distribution business. The Raw Materials segment produces direct reduced iron (DRI); brokers ferrous and nonferrous metals, pig iron, hot briquetted iron, and DRI; supplies ferro-alloys; processes ferrous and nonferrous scrap metal; and engages in the natural gas production and industrial gas business. This segment sells its ferrous scrap to electric arc furnace steel mills and foundries for manufacturing process; and nonferrous scrap metal to aluminum can producers, secondary aluminum smelters, steel mills and other processors, and consumers of various nonferrous metals. It markets its products through in-house sales force; and internal distribution and trading companies. Nucor Corporation was founded in 1905 and is headquartered in Charlotte, North Carolina.",32.8,9.3,8.8,14.7,Moderate Controversy Level,2.0,,High,10.933333333333332,10.703333333333328,Enterprise,0
NRG,"Nrg Energy, Inc.","910 Louisiana Street
Houston, TX 77002
United States",Utilities,Utilities - Independent Power Producers,18131.0,"NRG Energy, Inc., together with its subsidiaries, operates as an energy and home services company in the United States and Canada. It operates through Texas; East; West/Services/Other; Vivint Smart Home; and Corporate Activities segments. The company produces and sells electricity generated using coal, oil, solar, and battery storage; natural gas; and a cloud-based home platform, including hardware, software, sales, installation, customer service, technical support, and professional monitoring solutions. It offers retail electricity and energy management, line and surge protection products, HVAC installation, repair and maintenance, home protection products, carbon offsets, back-up power stations, portable power, portable solar, and portable lighting; retail services comprising demand response, commodity sales, energy efficiency, and energy management solutions; and system power, distributed generation, renewable and low-carbon products, carbon management and specialty services, backup generation, storage and distributed solar, and energy advisory services. In addition, the company trades in power, natural gas, and related commodities; environmental products; weather products; and financial products, including forwards, futures, options, and swaps. It offers its products and services under the NRG, Reliant, Direct Energy, Green Mountain Energy, and Vivint. It serves residential, commercial, government, industrial, and wholesale customers. NRG Energy, Inc. was founded in 1989 and is headquartered in Houston, Texas.",32.0,16.8,5.7,9.5,Moderate Controversy Level,2.0,,High,10.666666666666666,31.823333333333338,Enterprise,0
NCLH,Norwegian Cruise Line Holdings Ltd.s,"7665 Corporate Center Drive
Miami, FL 33126
United States",Consumer Cyclical,Travel Services,41000.0,"Norwegian Cruise Line Holdings Ltd., together with its subsidiaries, operates as a cruise company in North America, Europe, the Asia-Pacific, and internationally. The company operates through the Norwegian Cruise Line, Oceania Cruises, and Regent Seven Seas Cruises brands. It offers itineraries ranging from three days to a 180-days calling on various ports, including Scandinavia, Northern Europe, the Mediterranean, the Greek Isles, Alaska, Canada and New England, Hawaii, Asia, Tahiti and the South Pacific, Australia and New Zealand, Africa, India, South America, the Panama Canal, and the Caribbean. It distributes its products through retail/travel advisor and onboard cruise sales channels, as well as meetings, incentives, and charters. Norwegian Cruise Line Holdings Ltd. was founded in 1966 and is based in Miami, Florida.",25.9,9.0,6.1,10.9,Moderate Controversy Level,2.0,,Medium,8.666666666666666,5.8433333333333355,Enterprise,0
